1	наука	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#18.887#19.302
2	и	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#19.302#19.717
3	образование	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#19.717#20.132
4	это	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#20.132#20.547
5	способ	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#20.547#20.962
6	постоянно	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#20.962#21.377
7	действующего	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#21.377#21.792
8	зомбирования	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#21.792#22.207
9	землян	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#22.207#22.622
10	утверждает	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#22.622#23.037
11	/	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#23.037#23.452
12	Юрий	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#23.452#23.867
13	Степанович	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#23.867#24.282
14	/	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#24.282#24.697
15	н...	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#24.697#25.112
16	для	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#25.112#25.527
17	меня	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#25.527#25.942
18	это	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#25.942#26.357
19	очень	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#26.357#26.772
20	даже	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#26.772#27.187
21	неприятно	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#27.187#27.602
22	в	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#27.602#28.017
23	смысле	_	_	_	_	_	_	_	@bsb1954m-words#@bsb1954m#28.017#28.432
