1	наука	наука	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#18.887#19.302
2	и	и	CCONJ	_	_	_	_	_	@bsb1954m-words#@bsb1954m#19.302#19.717
3	образование	образование	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#19.717#20.132
4	это	этот	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#20.132#20.547
5	способ	способ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#20.547#20.962
6	постоянно	постоянно	ADV	_	Degree=Pos	_	_	_	@bsb1954m-words#@bsb1954m#20.962#21.377
7	действующего	действовать	VERB	_	Aspect=Imp|Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	_	_	_	@bsb1954m-words#@bsb1954m#21.377#21.792
8	зомбирования	зомбирование	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#21.792#22.207
9	землян	землянин	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@bsb1954m-words#@bsb1954m#22.207#22.622
10	утверждает	утверждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@bsb1954m-words#@bsb1954m#22.622#23.037
11	/	/	PUNCT	_	_	_	_	_	@bsb1954m-words#@bsb1954m#23.037#23.452
12	Юрий	Юрий	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#23.452#23.867
13	Степанович	Степанович	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#23.867#24.282
14	/	/	PUNCT	_	_	_	_	_	@bsb1954m-words#@bsb1954m#24.282#24.697
15	н...	н...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#24.697#25.112
16	для	для	ADP	_	_	_	_	_	@bsb1954m-words#@bsb1954m#25.112#25.527
17	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@bsb1954m-words#@bsb1954m#25.527#25.942
18	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#25.942#26.357
19	очень	очень	ADV	_	Degree=Pos	_	_	_	@bsb1954m-words#@bsb1954m#26.357#26.772
20	даже	даже	PART	_	_	_	_	_	@bsb1954m-words#@bsb1954m#26.772#27.187
21	неприятно	неприятный	ADV	_	Degree=Pos	_	_	_	@bsb1954m-words#@bsb1954m#27.187#27.602
22	в	в	ADP	_	_	_	_	_	@bsb1954m-words#@bsb1954m#27.602#28.017
23	смысле	смысл	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#28.017#28.432
24	финансовом	финансовый	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#28.432#28.847
25	потому	потому	ADV	_	Degree=Pos	_	_	_	@bsb1954m-words#@bsb1954m#28.847#29.262
26	что	что	SCONJ	_	_	_	_	_	@bsb1954m-words#@bsb1954m#29.262#29.677
27	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@bsb1954m-words#@bsb1954m#29.677#30.092
28	преподаватель	преподаватель	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@bsb1954m-words#@bsb1954m#30.092#30.507
29	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@bsb1954m-words#@bsb1954m#30.507#30.922
